schedule_date,schedule_season,schedule_week,schedule_playoff,home_team,score_home,score_away,away_team,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
9/10/2020,2020,1,False,KC,34,20,HOU,KC,-9.0,54,Arrowhead Stadium,False,,,,
9/13/2020,2020,1,False,ATL,25,38,SEA,SEA,-1.0,49,Mercedes-Benz Stadium,False,72.0,0.0,,indoor
9/13/2020,2020,1,False,BAL,38,6,CLE,BAL,-7.0,47.5,M&T Bank Stadium,False,,,,
9/13/2020,2020,1,False,BUF,27,17,NYJ,BUF,-6.5,39.5,New Era Field,False,,,,
9/13/2020,2020,1,False,CAR,30,34,LV,LVR,-3.0,48,Bank of America Stadium,False,,,,
9/13/2020,2020,1,False,CIN,13,16,LAC,LAC,-3.0,41.5,Paul Brown Stadium,False,,,,
9/13/2020,2020,1,False,DET,23,27,CHI,DET,-2.5,42.5,Ford Field,False,72.0,0.0,,indoor
9/13/2020,2020,1,False,JAX,27,20,IND,IND,-8.0,45,TIAA Bank Field,False,,,,
9/13/2020,2020,1,False,LA,20,17,DAL,DAL,-2.0,51.5,SoFi Stadium,False,72.0,0.0,,indoor
9/13/2020,2020,1,False,MIN,34,43,GB,MIN,-2.5,44.5,U.S. Bank Stadium,False,72.0,0.0,,indoor
9/13/2020,2020,1,False,NE,21,11,MIA,NE,-7.0,41.5,Gillette Stadium,False,,,,
9/13/2020,2020,1,False,NO,34,23,TB,NO,-3.5,47.5,Mercedes-Benz Superdome,False,72.0,0.0,,indoor
9/13/2020,2020,1,False,SF,20,24,ARI,SF,-6.5,48,Levi's Stadium,False,,,,
9/13/2020,2020,1,False,WAS,27,17,PHI,PHI,-5.0,42,FedEx Field,False,,,,
9/14/2020,2020,1,False,DEN,14,16,TEN,TEN,-3.0,41,Sports Authority Field at Mile High,False,,,,
9/14/2020,2020,1,False,NYG,16,26,PIT,PIT,-5.5,45,MetLife Stadium,False,,,,
9/17/2020,2020,2,False,CLE,35,30,CIN,CLE,-6.0,43,FirstEnergy Stadium,False,,,,
9/20/2020,2020,2,False,ARI,30,15,WAS,ARI,-7.0,46.5,University of Phoenix Stadium,False,72.0,0.0,,indoor
9/20/2020,2020,2,False,CHI,17,13,NYG,CHI,-5.5,42,Soldier Field,False,,,,
9/20/2020,2020,2,False,DAL,40,39,ATL,DAL,-3.5,53.5,AT&T Stadium,False,72.0,0.0,,indoor
9/20/2020,2020,2,False,GB,42,21,DET,GB,-6.0,50,Lambeau Field,False,,,,
