schedule_date,schedule_season,schedule_week,schedule_playoff,home_team,score_home,score_away,away_team,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
9/9/2021,2021,1,False,TB,31,29,DAL,TB,-7.5,51.5,Raymond James Stadium,False,,,,
9/12/2021,2021,1,False,ATL,6,32,PHI,ATL,-3.5,48,Mercedes-Benz Stadium,False,72.0,0.0,,indoor
9/12/2021,2021,1,False,BUF,16,23,PIT,BUF,-6.5,48.5,Highmark Stadium,False,,,,
9/12/2021,2021,1,False,CAR,19,14,NYJ,CAR,-5.0,44.5,Bank of America Stadium,False,,,,
9/12/2021,2021,1,False,CIN,27,24,MIN,MIN,-3.0,48,Paul Brown Stadium,False,,,,
9/12/2021,2021,1,False,DET,33,41,SF,SF,-7.5,46,Ford Field,False,72.0,0.0,,indoor
9/12/2021,2021,1,False,HOU,37,21,JAX,JAX,-3.0,44.5,NRG Stadium,False,72.0,0.0,,indoor
9/12/2021,2021,1,False,IND,16,28,SEA,SEA,-2.5,48.5,Lucas Oil Stadium,False,72.0,0.0,,indoor
9/12/2021,2021,1,False,KC,33,29,CLE,KC,-6.0,53,Arrowhead Stadium,False,,,,
9/12/2021,2021,1,False,LA,34,14,CHI,LAR,-7.5,44.5,SoFi Stadium,False,72.0,0.0,,indoor
9/12/2021,2021,1,False,NE,16,17,MIA,NE,-2.5,44.5,Gillette Stadium,False,,,,
9/12/2021,2021,1,False,NO,38,3,GB,GB,-4.0,49.5,TIAA Bank Field,True,,,,
9/12/2021,2021,1,False,NYG,13,27,DEN,DEN,-2.5,42.5,MetLife Stadium,False,,,,
9/12/2021,2021,1,False,TEN,13,38,ARI,TEN,-3.0,51.5,Nissan Stadium,False,,,,
9/12/2021,2021,1,False,WAS,16,20,LAC,LAC,-1.0,44.5,FedEx Field,False,,,,
9/13/2021,2021,1,False,LV,33,27,BAL,BAL,-4.5,51,Allegiant Stadium,False,72.0,0.0,,indoor
9/16/2021,2021,2,False,WAS,30,29,NYG,WAS,-3.0,41,FedEx Field,False,,,,
9/19/2021,2021,2,False,ARI,34,33,MIN,ARI,-4.0,51,University of Phoenix Stadium,False,72.0,0.0,,indoor
9/19/2021,2021,2,False,BAL,36,35,KC,KC,-4.0,55.5,M&T Bank Stadium,False,,,,
9/19/2021,2021,2,False,CAR,26,7,NO,NO,-3.5,44,Bank of America Stadium,False,,,,
