schedule_date,season,week,week_label,home_team,score_home,score_away,away_team,team_favorite_id,spread_favorite,home_line,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,stadium,stadium_neutral,point_diff,home_win
2022-09-08,2022,1,Week 1,LA,10,31,BUF,BUF,-2.0,2.0,52.0,72.0,0.0,,SoFi Stadium,False,-21,0.0
2022-09-11,2022,1,Week 1,ARI,21,44,KC,KC,-6.0,6.0,54.0,72.0,0.0,,State Farm Stadium,False,-23,0.0
2022-09-11,2022,1,Week 1,ATL,26,27,NO,NO,-5.5,5.5,44.0,72.0,0.0,,Mercedes-Benz Stadium,False,-1,0.0
2022-09-11,2022,1,Week 1,CAR,24,26,CLE,CAR,-1.0,-1.0,42.0,,,,Bank of America Stadium,False,-2,0.0
2022-09-11,2022,1,Week 1,CHI,19,10,SF,SF,-6.5,6.5,38.0,,,,Soldier Field,False,9,1.0
2022-09-11,2022,1,Week 1,CIN,20,23,PIT,CIN,-7.0,-7.0,44.5,,,,Paycor Stadium,False,-3,0.0
2022-09-11,2022,1,Week 1,DAL,3,19,TB,TB,-2.5,2.5,49.5,72.0,0.0,,AT&T Stadium,False,-16,0.0
2022-09-11,2022,1,Week 1,DET,35,38,PHI,PHI,-5.5,5.5,48.5,72.0,0.0,,Ford Field,False,-3,0.0
2022-09-11,2022,1,Week 1,HOU,20,20,IND,IND,-7.0,7.0,45.5,72.0,0.0,,NRG Stadium,False,0,0.0
2022-09-11,2022,1,Week 1,LAC,24,19,LV,LAC,-3.5,-3.5,52.5,72.0,0.0,,SoFi Stadium,False,5,1.0
2022-09-11,2022,1,Week 1,MIA,20,7,NE,MIA,-3.0,-3.0,46.5,,,,Hard Rock Stadium,False,13,1.0
2022-09-11,2022,1,Week 1,MIN,23,7,GB,MIN,-2.0,-2.0,46.5,72.0,0.0,,U.S. Bank Stadium,False,16,1.0
2022-09-11,2022,1,Week 1,NYJ,9,24,BAL,BAL,-6.5,6.5,44.0,,,,MetLife Stadium,False,-15,0.0
2022-09-11,2022,1,Week 1,TEN,20,21,NYG,TEN,-5.5,-5.5,44.0,,,,Nissan Stadium,False,-1,0.0
2022-09-11,2022,1,Week 1,WAS,28,22,JAX,WAS,-3.0,-3.0,43.0,,,,FedEx Field,False,6,1.0
