schedule_date,season,week,week_label,home_team,score_home,score_away,away_team,team_favorite_id,spread_favorite,home_line,over_under_line,weather_temperature,weather_wind_mph,weather_humidity,stadium,stadium_neutral,point_diff,home_win
2024-09-05,2024,1,Week 1,KC,27,20,BAL,KC,-3.0,-3.0,47,,,,GEHA Field at Arrowhead Stadium,False,7,1.0
2024-09-06,2024,1,Week 1,PHI,34,29,GB,PHI,-2.0,-2.0,49.5,,,,Corinthians Arena,True,5,1.0
2024-09-08,2024,1,Week 1,ATL,10,18,PIT,ATL,-3.5,-3.5,42,72.0,0.0,,Mercedes-Benz Stadium,False,-8,0.0
2024-09-08,2024,1,Week 1,BUF,34,28,ARI,BUF,-6.5,-6.5,46.5,,,,Highmark Stadium,False,6,1.0
2024-09-08,2024,1,Week 1,CHI,24,17,TEN,CHI,-4.0,-4.0,44.5,,,,Soldier Field,False,7,1.0
2024-09-08,2024,1,Week 1,CIN,10,16,NE,CIN,-8.0,-8.0,41,,,,Paycor Stadium,False,-6,0.0
2024-09-08,2024,1,Week 1,CLE,17,33,DAL,CLE,-2.5,-2.5,41,,,,FirstEnergy Stadium,False,-16,0.0
2024-09-08,2024,1,Week 1,DET,26,20,LA,DET,-4.5,-4.5,52.5,72.0,0.0,,Ford Field,False,6,1.0
2024-09-08,2024,1,Week 1,IND,27,29,HOU,HOU,-3.0,3.0,48.5,72.0,0.0,,Lucas Oil Stadium,False,-2,0.0
2024-09-08,2024,1,Week 1,LAC,22,10,LV,LAC,-3.0,-3.0,40,72.0,0.0,,SoFi Stadium,False,12,1.0
2024-09-08,2024,1,Week 1,MIA,20,17,JAX,MIA,-3.5,-3.5,49,,,,Hard Rock Stadium,False,3,1.0
2024-09-08,2024,1,Week 1,NO,47,10,CAR,NO,-4.0,-4.0,41.5,72.0,0.0,,Caesars Superdome,False,37,1.0
2024-09-08,2024,1,Week 1,NYG,6,28,MIN,MIN,-1.5,1.5,41,,,,MetLife Stadium,False,-22,0.0
2024-09-08,2024,1,Week 1,SEA,26,20,DEN,SEA,-6.0,-6.0,42,,,,Lumen Field,False,6,1.0
2024-09-08,2024,1,Week 1,TB,37,20,WAS,TB,-3.5,-3.5,42.5,,,,Raymond James Stadium,False,17,1.0
2024-09-09,2024,1,Week 1,SF,32,19,NYJ,SF,-3.5,-3.5,43.5,,,,Levi's Stadium,False,13,1.0
2024-09-12,2024,2,Week 2,MIA,10,31,BUF,MIA,-2.5,-2.5,48.5,,,,Hard Rock Stadium,False,-21,0.0
2024-09-15,2024,2,Week 2,ARI,41,10,LA,ARI,-1.0,-1.0,47.5,72.0,0.0,,State Farm Stadium,False,31,1.0
2024-09-15,2024,2,Week 2,BAL,23,26,LV,BAL,-8.5,-8.5,41.5,,,,M&T Bank Stadium,False,-3,0.0
